Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2021-01-12T20:30:13.488375Z,NIO,BUY - MARKET,158.2779361,$63.18 ,"$10,000 ",USD,1.2206
2021-01-12T20:31:41.564056Z,LI,BUY - MARKET,274.122807,$36.48 ,"$10,000 ",USD,1.2208
2021-01-12T20:31:53.351985Z,LI,BUY - MARKET,274.2061969,$36.47 ,"$10,000 ",USD,1.2206
2021-01-12T20:57:15.484630Z,PLUG,BUY - MARKET,2.27928886,$65.81 ,$150 ,USD,1.2206
2021-01-13T20:00:19.523249Z,PLUG,SELL - MARKET,2.27928886,$71.25 ,$162.39 ,USD,1.2158
2021-01-13T20:00:35.722161Z,SPWRQ,SELL - MARKET,335.5479866,$31.86 ,"$10,690.98 ",USD,1.2158
2021-01-13T20:30:50.250746Z,XPEV,BUY - MARKET,194.5525292,$51.40 ,"$10,000 ",USD,1.216
2021-01-13T20:31:25.023935Z,XPEV,BUY - MARKET,16.53696498,$51.40 ,$850 ,USD,1.2159
2021-01-13T20:47:30.026324Z,UMC,SELL - MARKET,455.6412301,$8.88 ,"$4,047.13 ",USD,1.2157
2021-01-13T20:47:46.943270Z,NIO,BUY - MARKET,64.00128,$62.50 ,"$4,000 ",USD,1.2157
2021-01-19T20:58:33.378971Z,XPEV,SELL - MARKET,211.0894942,$53.70 ,"$11,335.23 ",USD,1.2127
2021-01-19T20:58:51.566375Z,NIO,BUY - MARKET,171.3588074,$58.36 ,"$10,000 ",USD,1.2128
2021-01-19T20:59:06.186784Z,LI,BUY - MARKET,39.5145357,$35.43 ,"$1,400 ",USD,1.2129
2021-01-20T15:32:28.810432Z,WORK,SELL - MARKET,469.2765962,$42.60 ,"$19,990.68 ",USD,1.2109
2021-01-20T15:33:00.227326Z,XPEV,BUY - MARKET,184.0876289,$54.32 ,"$10,000 ",USD,1.2111
2021-01-20T15:35:30.007598Z,PLUG,BUY - MARKET,159.0077914,$62.89 ,"$10,000 ",USD,1.2115
2021-01-21T20:40:33.683817Z,PLUG,SELL - MARKET,159.0077914,$64.22 ,"$10,211.23 ",USD,1.2168
2021-01-21T20:58:10.722939Z,LI,BUY - MARKET,283.286119,$35.30 ,"$10,000 ",USD,1.2172
2021-01-22T15:49:46.019405Z,XPEV,SELL - MARKET,184.0876289,$56.99 ,"$10,490.90 ",USD,1.2173
2021-01-22T15:50:07.178192Z,LI,BUY - MARKET,288.7958418,$34.63 ,"$10,000 ",USD,1.2173
2021-01-22T15:50:47.599680Z,LI,BUY - MARKET,20.23121387,$34.60 ,$700 ,USD,1.2173
2021-01-26T19:38:44.810784Z,,CASH TOP-UP,,,"$12,200 ",USD,1.2167
2021-01-26T19:40:00.065073Z,NKLA,BUY - MARKET,400.9623095,$24.94 ,"$10,000 ",USD,1.2169
2021-01-26T19:40:28.400744Z,PLUG,BUY - MARKET,29.55003357,$74.45 ,"$2,200 ",USD,1.217
2021-01-27T13:47:03.270578Z,,CASH TOP-UP,,,"$11,000 ",USD,1.2108
2021-01-27T14:31:58.652049Z,XPEV,BUY - MARKET,67.58061401,$51.79 ,"$3,500 ",USD,1.2099
2021-01-27T16:17:13.947399Z,AMC,BUY - MARKET,456.7131547,$16.42 ,"$7,500 ",USD,1.2096
2021-01-27T16:53:27.645436Z,NKLA,SELL - MARKET,400.9623095,$29.73 ,"$11,918.30 ",USD,1.2106
